"LAPORAN LABA RUGI"
""
"kode","keterangan","saldoawal","debet","kredit","saldoakhir"
"4.100","Pendapatan Operasional","0.00","0.00","0.00","0.00"
"4.112","Pendapatan Jasa Giro","0.00","0.00","0.00","0.00"
"4.113","Pendapatan Bunga Tabungan","0.00","0.00","0.00","0.00"
"4.115","Pendapatan Bunga Deposito","0.00","0.00","0.00","0.00"
"4.120","Pendapatan Dari Nasabah (PDN)","200100.00","0.00","0.00","200100.00"
"4.120.01","PDN. Bunga Pinjaman Tetap","200100.00","0.00","0.00","200100.00"
"4.120.02","PDN. Bunga Pinjaman Angsuran","0.00","0.00","0.00","0.00"
"4.131","Pendapatan Provisi Kredit","15000.00","0.00","0.00","15000.00"
"4.139","Pendapatan Administrasi dan Komisi (PAK)","60000.00","0.00","0.00","60000.00"
"4.139.01","PAK - Pinjaman Diberikan","0.00","0.00","0.00","0.00"
"4.139.02","PAK - Lainnya","0.00","0.00","0.00","0.00"
"4.139.03","PAK - Fee Adm. Pinjaman","60000.00","0.00","0.00","60000.00"
"4.149","Pendapatan Lainnya (PL)","0.00","0.00","0.00","0.00"
"4.149.01","PL - Denda","0.00","0.00","0.00","0.00"
"4.149.02","PL - Lainnya","0.00","0.00","0.00","0.00"
"4.290","Pendapatan Non Operasional (PNO)","0.00","0.00","0.00","0.00"
"4.290.01","PNO. Keuntungan Penj. Aktiva Tetap Inv.","0.00","0.00","0.00","0.00"
"4.290.02","PNO. Lainnya","0.00","0.00","0.00","0.00"
"","TOTAL PENDAPATAN","275100.00","","0.00","0.00","275100.00"
"5.150","Beban Operasional","0.00","0.00","0.00","0.00"
"5.160","Biaya Bunga Antar Kantor","0.00","0.00","0.00","0.00"
"5.167","Biaya Bunga Deposito Bank Lain","0.00","0.00","0.00","0.00"
"5.168","Biaya Bunga Pinjaman Diterima Bank","0.00","0.00","0.00","0.00"
"5.171","Biaya Bunga Tabungan Nasabah","0.00","0.00","0.00","0.00"
"5.172","Bunga Deposito Berjangka Umum","0.00","0.00","0.00","0.00"
"5.173","Bunga Pinjaman Diterima PNM","0.00","0.00","0.00","0.00"
"5.190","Biaya Premi Asuransi (BPA)","0.00","0.00","0.00","0.00"
"5.190.01","BPA - Assuransi Bangunan & Inventaris","0.00","0.00","0.00","0.00"
"5.190.02","BPA - Assuransi Sun Life","0.00","0.00","0.00","0.00"
"5.190.03","BPA - Lainnya","0.00","0.00","0.00","0.00"
